N,E,W,X
57, 81.0251, -3, 1506
56, 78.5687, -3, 0
47, 57.4275, 5, 37448
47, 57.4275, 5, 682
48, 58.9168, 3, 10182
39, 13.5977, 6, 16680
40, 17.0213, 6, 348
32, 15.7447, 5, 10408
30, 14.7002, 5, 172
31, 43.2689, 3, 11990
42, 57.7176, 5, 3231
42, 50.9478, 6, 9579
44, 46.1896, 4, 2999
43, 45.6673, 4, 31
36, 57.4855, 2, 2587
44, 51.0251, 2, 8304
43, 43.7331, 5, 5248
32, 26.383, 2, 5342
44, 33.617, 5, 10233
45, 48.646, 7, 6000
49, 28.4913, 4, 5220
49, 28.4913, 4, 152
49, 17.853, 3, 7002
44, 24.913, 1, 11358
47, 41.9536, -1, 15310
46, 34.6615, 5, 9112
45, 38.0077, 4, 101
